region,q1,avg,q3,scrape_date,source
Deutschland,4049,4527,5425,2026-04-20,gehaltsvergleich.com
Baden-Württemberg,3352,4385,9689,2026-04-20,gehaltsvergleich.com
Bayern,3886,4515,5515,2026-04-20,gehaltsvergleich.com
Berlin,4045,4726,4994,2026-04-20,gehaltsvergleich.com
Brandenburg,3560,3980,4769,2026-04-20,gehaltsvergleich.com
Bremen,3986,4457,5340,2026-04-20,gehaltsvergleich.com
Hamburg,3265,4599,6927,2026-04-20,gehaltsvergleich.com
Hessen,3938,4540,4692,2026-04-20,gehaltsvergleich.com
Mecklenburg-Vorpommern,3481,3892,4665,2026-04-20,gehaltsvergleich.com
Niedersachsen,3812,4206,4452,2026-04-20,gehaltsvergleich.com
Nordrhein-Westfalen,4005,4276,5453,2026-04-20,gehaltsvergleich.com
Rheinland-Pfalz,4255,4758,5702,2026-04-20,gehaltsvergleich.com
Saarland,3932,4396,5267,2026-04-20,gehaltsvergleich.com
Sachsen,3774,4220,5057,2026-04-20,gehaltsvergleich.com
Sachsen-Anhalt,3989,4461,5346,2026-04-20,gehaltsvergleich.com
Schleswig-Holstein,3824,4276,5124,2026-04-20,gehaltsvergleich.com
Thüringen,3568,3989,4780,2026-04-20,gehaltsvergleich.com
